start,O'Connor
-34.0084,123.1653
-34.0060,123.1675
-34.0002,123.1683
-33.9978,123.1713
-33.9895,123.1721
-33.9843,123.1681
-33.9845,123.1654
-33.9816,123.1664
-33.9788,123.1597
-33.9746,123.1556
-33.9774,123.1507
-33.9762,123.1484
-33.9720,123.1506
-33.9700,123.1544
-33.9708,123.1605
-33.9685,123.1624
-33.9574,123.1626
-33.9531,123.1580
-33.9459,123.1610
-33.9130,123.1395
-33.9106,123.1392
-33.9043,123.1338
-33.8890,123.1142
-33.8715,123.0831
-33.8626,123.0598
-33.8583,123.0424
-33.8566,123.0227
-33.8578,123.0167
-33.8684,123.0102
-33.8708,123.0048
-33.8743,123.0060
-33.8766,123.0034
-33.8804,123.0058
-33.8855,123.0022
-33.8827,122.9975
-33.8828,122.9935
-33.8840,122.9860
-33.8874,122.9790
-33.9023,122.9758
-33.9000,122.9726
-33.8913,122.9717
-33.8900,122.9700
-33.8858,122.9434
-33.8861,122.9350
-33.8892,122.9057
-33.8916,122.8996
-33.8946,122.8973
-33.8941,122.8927
-33.9004,122.8715
-33.9003,122.8576
-33.9022,122.8497
-33.9051,122.8477
-33.9047,122.8389
-33.9099,122.8293
-33.9067,122.8257
-33.9038,122.8265
-33.8996,122.8239
-33.8893,122.8126
-33.8816,122.7931
-33.8777,122.7738
-33.8777,122.7674
-33.8812,122.7546
-33.8875,122.7484
-33.8921,122.7503
-33.8958,122.7477
-33.8957,122.7423
-33.8919,122.7348
-33.8927,122.7273
-33.8952,122.7246
-33.8952,122.7225
-33.8910,122.7196
-33.8902,122.7164
-33.8925,122.6956
-33.8902,122.6898
-33.8886,122.6698
-33.8888,122.6552
-33.8904,122.6518
-33.8932,122.6522
-33.8935,122.6501
-33.8913,122.6346
-33.8928,122.6186
-33.8954,122.6095
-33.9004,122.6003
-33.9077,122.5952
-33.9102,122.5881
-33.9163,122.5816
-33.9193,122.5800
-33.9246,122.5800
-33.9256,122.5838
-33.9328,122.5855
-33.9350,122.5877
-33.9372,122.5973
-33.9415,122.5927
-33.9420,122.5901
-33.9438,122.5903
-33.9451,122.5807
-33.9469,122.5805
-33.9484,122.5831
-33.9521,122.5769
-33.9559,122.5773
-33.9614,122.5715
-33.9555,122.5730
-33.9545,122.5753
-33.9534,122.5736
-33.9510,122.5755
-33.9483,122.5750
-33.9366,122.5575
-33.9345,122.5411
-33.9352,122.5360
-33.9380,122.5292
-33.9430,122.5247
-33.9534,122.5096
-33.9513,122.5085
-33.9465,122.5095
-33.9405,122.5065
-33.9365,122.5007
-33.9192,122.4444
-33.9118,122.3992
-33.9116,122.3753
-33.9135,122.3642
-33.9169,122.3547
-33.9218,122.3493
-33.9234,122.3507
-33.9289,122.3503
-33.9315,122.3548
-33.9331,122.3541
-33.9313,122.3523
-33.9316,122.3441
-33.9294,122.3444
-33.9265,122.3414
-33.9289,122.3262
-33.9363,122.3105
-33.9425,122.3028
-33.9490,122.2877
-33.9594,122.2745
-33.9681,122.2682
-34.0007,122.2773
-33.9987,122.2752
-33.9958,122.2641
-33.9973,122.2613
-33.9993,122.2616
-33.9988,122.2575
-34.0013,122.2564
-34.0045,122.2494
-34.0029,122.2473
-33.9974,122.2473
-33.9941,122.2437
-33.9891,122.2351
-33.9880,122.2270
-33.9898,122.2233
-34.0023,122.2104
-34.0007,122.2094
-34.0006,122.2057
-33.9984,122.2026
-34.0003,122.1977
-34.0044,122.1970
-34.0047,122.1992
-34.0084,122.2007
-34.0091,122.1977
-34.0071,122.1966
-34.0081,122.1889
-34.0123,122.1902
-34.0146,122.1933
-34.0171,122.1932
-34.0064,122.1728
-34.0043,122.1725
-34.0024,122.1653
-34.0091,122.1419
-34.0068,122.1359
-34.0102,122.1329
-34.0112,122.1293
-34.0100,122.1276
-34.0171,122.1135
-34.0013,122.1133
-33.9987,122.1077
-34.0017,122.1018
-33.9989,122.1029
-33.9986,122.0980
-33.9912,122.1063
-33.9925,122.1098
-33.9895,122.1127
-33.9838,122.1147
-33.9800,122.1189
-33.9758,122.1183
-33.9027,122.0853
-33.8715,122.0590
-33.8625,122.0461
-33.8531,122.0400
-33.8449,122.0307
-33.8364,122.0177
-33.8292,122.0010
-33.8283,121.9881
-33.8310,121.9845
-33.8337,121.9580
-33.8342,121.9333
-33.8382,121.9151
-33.8448,121.9039
-33.8550,121.9007
-33.8635,121.8939
-33.8661,121.8949
-33.8682,121.9055
-33.8675,121.9080
-33.8764,121.9005
-33.8789,121.9004
-33.8794,121.8941
-33.8825,121.8872
-33.8792,121.8845
-33.8768,121.8745
-33.8795,121.8723
-33.8806,121.8649
-33.8866,121.8620
-33.8882,121.8662
-33.8902,121.8591
-33.8903,121.8571
-33.8885,121.8579
-33.8875,121.8566
-33.8876,121.8547
-33.8910,121.8518
-33.8884,121.8507
-33.8872,121.8357
-33.8888,121.8292
-33.8938,121.8238
-33.8972,121.8236
-33.8993,121.8037
-33.9046,121.7951
-33.9074,121.7957
-33.9090,121.7898
-33.9072,121.7888
-33.9058,121.7835
-33.8972,121.7750
-33.8859,121.7569
-33.8898,121.7648
-33.8869,121.7631
-33.8822,121.7512
-33.8844,121.7537
-33.8849,121.7526
-33.8782,121.7423
-33.8732,121.7308
-33.8612,121.6950
-33.8611,121.6853
-33.8631,121.6766
-33.8697,121.6717
-33.8722,121.6726
-33.8725,121.6755
-33.8744,121.6748
-33.8763,121.6678
-33.8839,121.6621
-33.8888,121.6518
-33.8950,121.6489
-33.8981,121.6446
-33.8917,121.6440
-33.8897,121.6469
-33.8873,121.6465
-33.8802,121.6409
-33.8693,121.6276
-33.8447,121.5854
-33.8338,121.5631
-33.8279,121.5465
-33.8257,121.5316
-33.8268,121.5290
-33.8296,121.5300
-33.8330,121.5269
-33.8338,121.5158
-33.8378,121.5112
-33.8396,121.5048
-33.8353,121.5009
-33.8228,121.4677
-33.8250,121.4558
-33.8200,121.4355
-33.8224,121.4340
-33.8216,121.4317
-33.8231,121.4291
-33.8264,121.4310
-33.8302,121.4285
-33.8276,121.4284
-33.8266,121.4267
-33.8188,121.3993
-33.8154,121.3614
-33.8167,121.3557
-33.8202,121.3501
-33.8227,121.3490
-33.8258,121.3528
-33.8302,121.3494
-33.8278,121.3482
-33.8215,121.3238
-33.8211,121.3182
-33.8250,121.2989
-33.8416,121.2792
-33.8427,121.2749
-33.8453,121.2748
-33.8507,121.2684
-33.8496,121.2687
-33.8503,121.2656
-33.8467,121.2552
-33.8476,121.2485
-33.8447,121.2419
-33.8426,121.2256
-33.8423,121.2102
-33.8445,121.1986
-33.8488,121.1930
-33.8545,121.1921
-33.8631,121.1865
-33.8661,121.1803
-33.8696,121.1793
-33.8703,121.1818
-33.8776,121.1771
-33.8762,121.1759
-33.8710,121.1772
-33.8670,121.1727
-33.8650,121.1585
-33.8595,121.1519
-33.8592,121.1441
-33.8556,121.1406
-33.8538,121.1282
-33.8506,121.1234
-33.8485,121.0998
-33.8496,121.0863
-33.8531,121.0821
-33.8587,121.0611
-33.8571,121.0430
-33.8585,121.0405
-33.8607,121.0407
-33.8601,121.0377
-33.8620,121.0369
-33.8596,121.0359
-33.8588,121.0317
-33.8609,121.0139
-33.8641,121.0085
-33.8681,121.0070
-33.8708,121.0087
-33.8727,121.0079
-33.8697,121.0039
-33.8678,120.9955
-33.8685,120.9899
-33.8668,120.9865
-33.8688,120.9802
-33.8681,120.9687
-33.8625,120.9435
-33.8639,120.9339
-33.8562,120.8685
-33.8571,120.8651
-33.8605,120.8620
-33.8595,120.8604
-33.8612,120.8523
-33.8656,120.8410
-33.8700,120.8376
-33.8733,120.8400
-33.8750,120.8342
-33.8773,120.8334
-33.8762,120.8305
-33.8779,120.8243
-33.8799,120.8216
-33.8826,120.8236
-33.8829,120.8172
-33.8863,120.8113
-33.8895,120.8102
-33.8920,120.8135
-33.8926,120.8134
-33.8923,120.8099
-33.8889,120.8071
-33.8859,120.7797
-33.8882,120.7626
-33.8903,120.7574
-33.8905,120.7413
-33.8891,120.6929
-33.8858,120.6824
-33.8848,120.6687
-33.8855,120.6526
