start,Maranoa
-25.9966,139.4948
-25.9966,139.5542
-25.9967,139.5012
-25.9966,139.4948
end
start,Maranoa
-25.9965,140.2160
-25.9964,140.5019
-25.9965,140.3553
-25.9965,140.2160
end
start,Maranoa
-25.9964,140.6026
-25.9964,140.6607
-25.9964,140.6052
-25.9964,140.6026
end
start,Maranoa
-25.9963,140.9993
-25.9968,137.9990
-23.5208,137.9982
-23.5550,138.4643
-23.4625,138.5920
-23.5089,138.6397
-23.6113,138.7364
-23.4764,138.9211
-23.4483,138.8994
-23.3068,139.0763
-23.3520,139.1227
-23.3099,139.1748
-23.4738,139.3389
-23.5099,139.2954
-23.5207,139.4757
-23.6695,139.4637
-23.6791,139.6359
-23.6963,139.8936
-23.6863,139.8922
-23.6754,139.8881
-23.6680,139.8764
-23.6542,139.8755
-23.6444,139.8666
-23.6370,139.8647
-23.6342,139.8660
-23.6294,139.8631
-23.6173,139.8852
-23.5770,139.9362
-23.5501,139.9391
-23.5492,139.9294
-23.4866,139.9362
-23.5249,140.3548
-23.4176,140.3411
-23.3463,140.4133
-23.2339,140.5724
-23.2247,140.5839
-23.2190,140.5876
-23.1592,140.6606
-23.1596,140.6661
-23.1876,140.7163
-23.2221,140.7560
-23.1691,140.8261
-23.1615,140.8192
-23.0667,140.9449
-23.0423,140.9217
-22.9467,141.0465
-22.9218,141.0217
-22.9122,140.9863
-22.8044,141.1237
-22.7743,141.1156
-22.7522,141.1217
-22.7494,141.1240
-22.7029,141.1186
-22.6900,141.1035
-22.6523,141.0923
-22.6423,141.0959
-22.6383,141.0931
-22.6280,141.0906
-22.6192,141.0923
-22.6219,141.1368
-22.6336,141.1469
-22.5978,141.1999
-22.4655,141.0797
-22.3349,141.2456
-22.3216,141.2534
-22.2975,141.2284
-22.2477,141.1814
-22.0525,141.1960
-22.0595,141.2936
-22.0540,141.2937
-22.0450,141.2902
-22.0324,141.2913
-22.0309,141.2927
-22.0263,141.2885
-22.0239,141.2908
-22.0099,141.2841
-21.9888,141.2845
-21.9839,141.2883
-21.9496,141.3047
-21.9640,141.4811
-21.7504,141.5078
-21.7559,141.5831
-21.7931,141.5800
-21.8062,141.7386
-21.7909,141.7408
-21.8150,142.0487
-21.6936,142.0657
-21.5396,142.0718
-21.5420,142.1632
-21.5499,142.2316
-21.5948,142.2279
-21.6059,142.3347
-21.6355,142.3323
-21.6435,142.4922
-21.5963,142.4949
-21.6102,142.6576
-21.6697,142.6523
-21.6161,142.7208
-21.5877,142.6952
-21.4924,142.8163
-21.5445,142.8630
-21.4814,142.9432
-21.4933,142.9539
-21.4533,143.0013
-21.4541,143.0028
-21.4498,143.0085
-21.4480,143.0082
-21.3079,143.1887
-21.3216,143.3580
-21.6105,143.3289
-21.6133,143.3576
-21.6151,143.3580
-21.6237,143.4478
-21.6220,143.4495
-21.6393,143.6446
-21.7954,143.6293
-21.8142,143.7818
-21.8108,143.7822
-21.8165,143.8796
-21.8196,143.9241
-21.8211,143.9309
-21.8224,143.9310
-21.8318,144.0413
-21.8933,144.0357
-21.8976,144.0573
-21.8986,144.0924
-21.9020,144.1108
-21.9064,144.1105
-21.9137,144.1824
-21.9081,144.1844
-21.9084,144.1872
-21.9137,144.1864
-21.9136,144.1848
-21.9909,144.1788
-21.9974,144.2542
-22.0461,144.2519
-22.0492,144.2830
-22.0474,144.2837
-22.0576,144.3872
-22.0593,144.3866
-22.0621,144.4147
-22.0986,144.4113
-22.1132,144.4003
-22.1578,144.3955
-22.1665,144.5007
-22.1878,144.4994
-22.1965,144.6487
-22.2037,144.7154
-22.2022,144.7211
-22.2121,144.7367
-22.0946,144.7509
-22.0982,144.7935
-22.0458,144.7992
-22.0597,144.9415
-21.9295,144.9548
-21.9418,145.0813
-21.9093,145.0831
-21.8998,145.0739
-21.8915,145.0748
-21.8989,145.1526
-21.7851,145.1661
-21.7933,145.2492
-21.8299,145.2583
-21.8288,145.2625
-21.8462,145.4182
-21.6920,145.4347
-21.7015,145.5285
-21.6788,145.5297
-21.6575,145.5338
-21.6676,145.6777
-21.7160,145.6732
-21.7148,145.6610
-21.8903,145.6473
-21.8888,145.6313
-21.9292,145.6276
-21.9340,145.6681
-22.0380,145.6614
-22.0453,145.7706
-22.0634,145.7701
-22.0777,145.8804
-22.0853,145.8800
-22.1061,146.0367
-22.1182,146.0654
-22.1249,146.0730
-22.1870,146.0625
-22.2306,146.0695
-22.3397,146.0511
-22.3486,146.1211
-22.4456,146.1091
-22.4450,146.1120
-22.4481,146.1137
-22.4639,146.2749
-22.5087,146.2687
-22.5024,146.2791
-22.5016,146.2846
-22.4965,146.2950
-22.4933,146.3121
-22.4965,146.3224
-22.4950,146.3304
-22.5008,146.3473
-22.5192,146.3699
-22.5208,146.3848
-22.5114,146.4015
-22.4874,146.4288
-22.4865,146.4360
-22.4991,146.4517
-22.5487,146.4397
-22.5473,146.4239
-22.7559,146.4011
-22.7686,146.5481
-22.7789,146.5484
-22.7890,146.5399
-22.7931,146.5294
-22.7965,146.5259
-22.8038,146.5243
-22.8121,146.5259
-22.8289,146.5391
-22.8364,146.5421
-22.8396,146.5465
-22.8534,146.5493
-22.8588,146.5519
-22.8647,146.5518
-22.8686,146.5534
-22.8699,146.5563
-22.8787,146.5588
-22.8899,146.5770
-22.8875,146.5944
-22.8813,146.6097
-22.8869,146.6218
-22.8833,146.6418
-22.8844,146.6453
-22.8925,146.6487
-22.9058,146.6612
-22.9053,146.6642
-22.9143,146.6697
-22.9173,146.6696
-22.9241,146.6642
-22.9252,146.6646
-22.9419,146.6815
-22.9441,146.6814
-22.9491,146.6849
-22.9537,146.6923
-22.9662,146.6986
-22.9648,146.7025
-22.9660,146.7135
-22.9686,146.7212
-22.9738,146.7279
-22.9755,146.7349
-22.9849,146.7416
-22.9863,146.7491
-22.9902,146.7547
-22.9984,146.7615
-23.0043,146.7651
-23.0094,146.7656
-23.0217,146.7782
-23.0338,146.7860
-23.0399,146.7876
-23.0471,146.7876
-23.0505,146.7831
-23.0550,146.7816
-23.0625,146.7843
-23.0712,146.7836
-23.0760,146.7862
-23.0797,146.7858
-23.0845,146.7839
