start,Banks
-33.6544,150.9268
-33.6492,150.9278
-33.6482,150.9308
-33.6507,150.9339
-33.6495,150.9365
-33.6443,150.9378
-33.6412,150.9349
-33.6417,150.9261
-33.6383,150.9243
-33.6383,150.9277
-33.6365,150.9278
-33.6282,150.9229
-33.6280,150.9277
-33.6295,150.9299
-33.6285,150.9310
-33.6300,150.9319
-33.6292,150.9349
-33.6262,150.9338
-33.6232,150.9366
-33.6207,150.9348
-33.6185,150.9356
-33.6162,150.9304
-33.6131,150.9300
-33.6166,150.9287
-33.6159,150.9253
-33.6198,150.9231
-33.6117,150.9043
-33.5647,150.9357
-33.5633,150.9336
-33.5595,150.9324
-33.5614,150.9288
-33.5585,150.9267
-33.5610,150.9219
-33.5572,150.9204
-33.5544,150.9163
-33.5575,150.9086
-33.5544,150.9035
-33.5560,150.8996
-33.5552,150.8960
-33.5610,150.8934
-33.5615,150.8897
-33.5552,150.8890
-33.5524,150.8920
-33.5486,150.8930
-33.5406,150.8893
-33.5354,150.8957
-33.5268,150.9005
-33.5225,150.9077
-33.5153,150.8995
-33.5123,150.8985
-33.5105,150.9053
-33.5164,150.9126
-33.5167,150.9192
-33.5113,150.9247
-33.5048,150.9276
-33.5020,150.9254
-33.4999,150.9102
-33.4893,150.9009
-33.4846,150.8935
-33.4860,150.8902
-33.5014,150.8745
-33.5001,150.8704
-33.4976,150.8696
-33.4901,150.8787
-33.4865,150.8790
-33.4817,150.8773
-33.4750,150.8708
-33.4731,150.8710
-33.4708,150.8765
-33.4744,150.9001
-33.4720,150.9047
-33.4696,150.9052
-33.4517,150.8982
-33.4564,150.8846
-33.4557,150.8789
-33.4527,150.8755
-33.4462,150.8853
-33.4372,150.8873
-33.4361,150.8908
-33.4374,150.8962
-33.4358,150.8981
-33.4343,150.8992
-33.4303,150.8933
-33.4272,150.8937
-33.4194,150.9035
-33.4183,150.9245
-33.4291,150.9215
-33.4324,150.9249
-33.4307,150.9299
-33.4165,150.9342
-33.4139,150.9398
-33.4248,150.9436
-33.4281,150.9492
-33.4274,150.9515
-33.4252,150.9534
-33.4168,150.9510
-33.4137,150.9517
-33.4122,150.9610
-33.4002,150.9766
-33.3947,150.9797
-33.3785,150.9838
-33.3780,150.9869
-33.3839,150.9924
-33.3974,150.9933
-33.3993,150.9948
-33.4015,151.0011
-33.4005,151.0211
-33.4053,151.0319
-33.4093,151.0337
-33.4220,151.0308
-33.4273,151.0323
-33.4292,151.0357
-33.4296,151.0441
-33.4407,151.0516
-33.4424,151.0632
-33.4543,151.0639
-33.4597,151.0679
-33.4599,151.0685
end
start,Berowra
-33.6581,151.1640
-33.6581,151.1640
-33.6581,151.1640
-33.6581,151.1640
end
start,Berowra
-33.6507,151.1661
-33.6503,151.1662
-33.6509,151.1667
-33.6507,151.1661
end
start,Berowra
-33.6390,151.1695
-33.6378,151.1699
-33.6402,151.1722
-33.6390,151.1695
end
start,Berowra
-33.6331,151.1712
-33.6263,151.1732
-33.6090,151.2185
-33.6090,151.2185
-33.6128,151.2155
-33.6156,151.2044
-33.6184,151.2005
-33.6205,151.2000
-33.6199,151.1983
-33.6222,151.1961
