start,Bass
-41.1689,146.9172
-41.1697,146.9231
-41.1825,146.9197
-41.1823,146.9169
-41.1872,146.9155
-41.1858,146.9107
-41.1888,146.9086
-41.1902,146.9164
-41.1977,146.9156
-41.2015,146.9014
-41.1988,146.8989
-41.1995,146.8975
-41.2025,146.8975
-41.2082,146.8999
-41.2127,146.9060
-41.2602,146.9457
-41.2606,146.9549
-41.2560,146.9597
-41.2536,146.9680
-41.2543,146.9707
-41.2556,146.9707
-41.2516,146.9747
-41.2548,146.9740
-41.2583,146.9698
-41.2627,146.9675
-41.2687,146.9696
-41.2703,146.9733
-41.2939,146.9717
-41.2945,146.9693
-41.2962,146.9698
-41.2943,146.9620
-41.2976,146.9701
-41.3046,146.9709
-41.3068,146.9690
-41.3069,146.9703
-41.3092,146.9706
-41.3126,146.9733
-41.3211,146.9870
-41.3210,146.9966
-41.3226,146.9998
-41.3212,147.0049
-41.3268,147.0096
-41.3285,147.0081
-41.3375,147.0185
-41.3558,147.0337
-41.3423,147.0502
-41.3408,147.0548
-41.3356,147.0584
-41.3409,147.0768
-41.3511,147.0695
-41.3543,147.0689
-41.3839,147.0739
-41.3959,147.0824
-41.3993,147.0955
-41.4010,147.1119
-41.4137,147.1157
-41.4095,147.1230
-41.4219,147.1122
-41.4436,147.1218
-41.4394,147.1305
-41.4372,147.1310
-41.4292,147.1432
-41.4172,147.1459
-41.4203,147.1475
-41.4216,147.1500
-41.4205,147.1532
-41.4167,147.1536
-41.4173,147.1567
-41.4199,147.1592
-41.4239,147.1581
-41.4276,147.1608
-41.4266,147.1646
-41.4293,147.1639
-41.4332,147.1657
-41.4364,147.1723
-41.4346,147.1732
-41.4323,147.1698
-41.4332,147.1662
-41.4267,147.1654
-41.4258,147.1638
-41.4272,147.1612
-41.4201,147.1599
-41.4172,147.1574
-41.4160,147.1546
-41.4173,147.1444
-41.4258,147.1410
-41.4293,147.1421
-41.4321,147.1270
-41.4109,147.1278
-41.3785,147.0925
-41.3728,147.0883
-41.3668,147.0797
-41.3545,147.0752
-41.3531,147.0767
-41.3531,147.0810
-41.3518,147.0826
-41.3536,147.0889
-41.3517,147.0826
-41.3522,147.0816
-41.3529,147.0810
-41.3528,147.0774
-41.3530,147.0764
-41.3541,147.0751
-41.3446,147.0825
-41.3306,147.0723
-41.3305,147.0619
-41.3349,147.0531
-41.3366,147.0458
-41.3287,147.0453
-41.3245,147.0419
-41.3239,147.0445
-41.3223,147.0453
-41.3186,147.0399
-41.3149,147.0244
-41.3155,147.0206
-41.3087,146.9781
-41.2829,147.0079
-41.2835,147.0137
-41.2797,147.0133
-41.2782,147.0155
-41.2763,147.0153
-41.2593,147.0000
-41.2584,147.0006
-41.2590,146.9997
-41.2332,146.9765
-41.2288,146.9456
-41.2142,146.9460
-41.2065,146.9446
-41.2119,146.9119
-41.2068,146.9163
-41.2083,146.9191
-41.2076,146.9229
-41.1999,146.9324
-41.2013,146.9266
-41.1978,146.9238
-41.1817,146.9372
-41.1921,146.9612
-41.1900,146.9654
-41.1797,146.9563
-41.1771,146.9496
-41.1475,146.9132
-41.1460,146.9156
-41.1455,146.9118
-41.1437,146.9111
-41.1438,146.9089
-41.1426,146.9091
-41.1429,146.9075
-41.1369,146.9003
-41.1361,146.8899
-41.1315,146.8838
-41.1306,146.8772
-41.1366,146.8616
-41.1353,146.8379
-41.1363,146.8277
-41.1347,146.8329
-41.1278,146.8315
-41.1262,146.8336
-41.1253,146.8339
-41.1259,146.8308
-41.1313,146.8276
-41.1080,146.8269
-41.0871,146.8112
-41.0835,146.8112
-41.0778,146.8043
-41.0761,146.8053
-41.0746,146.8036
-41.0695,146.8038
-41.0694,146.8004
-41.0645,146.7987
-41.0651,146.7948
-41.0633,146.7945
-41.0541,146.7866
-41.0568,146.7928
-41.0608,146.7971
-41.0606,146.7999
-41.0634,146.8018
-41.0629,146.8071
-41.0386,146.8444
-41.0270,146.8676
-41.0239,146.8718
-41.0188,146.8748
-41.0201,146.8766
-41.0196,146.8819
-41.0278,146.8886
-41.0296,146.8937
-41.0289,146.9014
-41.0267,146.9063
-41.0306,146.9191
-41.0256,146.9416
-41.0274,146.9592
-41.0251,146.9565
-41.0255,146.9476
-40.9811,147.0194
-40.9814,147.0210
-40.9802,147.0208
-40.9903,147.0319
-40.9891,147.0445
-40.9996,147.0727
-40.9966,147.0983
-40.9980,147.1002
-40.9945,147.1160
-40.9987,147.1150
-41.0030,147.1230
-41.0066,147.134
-41.0064,147.1379
-41.0089,147.1392
-41.0100,147.1448
-41.0129,147.1478
-41.0121,147.1554
-41.0136,147.1589
-41.0206,147.1482
-41.0232,147.1478
-41.0349,147.1344
-41.0357,147.1374
-41.0314,147.1578
-41.0286,147.1607
-41.0265,147.1586
-41.0079,147.1617
-41.0097,147.1695
-41.0083,147.1785
-41.0090,147.2026
-40.9950,147.2144
-40.9891,147.2247
-40.9796,147.2345
-40.9617,147.2478
-40.9565,147.2500
-40.9534,147.2494
-40.9515,147.2597
-40.9461,147.2683
-40.9461,147.2736
-40.9416,147.2798
-40.9444,147.2837
-40.9466,147.2812
-40.9519,147.2848
-40.9561,147.2926
-40.9576,147.3025
-40.9544,147.3198
-40.9429,147.3373
-40.9394,147.3456
-40.9822,147.3554
