start,Lingiari
-15.7211,136.9503
-15.7366,136.9556
-15.7398,136.9414
-15.7254,136.9292
-15.6889,136.9388
-15.6837,136.9183
-15.6842,136.9399
-15.6633,136.9474
-15.6604,136.9362
-15.6401,136.9610
-15.6728,136.9907
-15.6344,136.9767
-15.6228,136.9999
-15.5844,136.9913
-15.5948,137.0199
-15.6351,137.0336
-15.6287,137.0671
-15.7129,137.0854
-15.7458,137.0734
-15.7740,137.1062
-15.8461,137.0749
-15.8355,137.0398
-15.7971,137.0344
-15.8055,137.0162
-15.7921,136.9926
-15.7606,136.9893
-15.7490,136.9696
-15.7124,136.9783
-15.7305,136.9638
-15.7098,136.9590
-15.7211,136.9503
end
start,Lingiari
-15.6860,136.7370
-15.6476,136.7346
-15.6404,136.7656
-15.6619,136.8280
-15.6872,136.8371
-15.7003,136.8138
-15.6867,136.7878
-15.7013,136.7795
-15.7033,136.7981
-15.7238,136.8044
-15.7626,136.7384
-15.7356,136.7281
-15.7127,136.7512
-15.7024,136.7308
-15.6860,136.7370
end
start,Lingiari
-15.6119,136.7920
-15.6080,136.7772
-15.5910,136.7893
-15.6032,136.8190
-15.6119,136.7920
end
start,Lingiari
-15.5374,136.5264
-15.5291,136.5701
-15.5108,136.5786
-15.5238,136.6104
-15.5557,136.6173
-15.5812,136.5965
-15.6237,136.6050
-15.6453,136.5896
-15.6398,136.5508
-15.6543,136.5228
-15.6427,136.4942
-15.6226,136.5133
-15.5920,136.5045
-15.5630,136.5220
-15.5445,136.5110
-15.5374,136.5264
end
start,Lingiari
-15.6352,136.8383
-15.6247,136.8516
-15.6183,136.8299
-15.6102,136.8430
-15.6016,136.8310
-15.5818,136.8558
-15.5423,136.8415
-15.5056,136.8806
-15.5320,136.8737
-15.5901,136.9048
-15.6073,136.8619
-15.6134,136.8819
-15.6367,136.8808
-15.6471,136.8454
-15.6352,136.8383
end
start,Lingiari
-15.5603,136.8365
-15.5848,136.8356
-15.5786,136.7735
-15.5600,136.7930
-15.5603,136.8365
end
start,Lingiari
-15.1504,129.2110
-15.1346,129.2193
-15.1349,129.2231
-15.1472,129.2187
-15.1504,129.2110
end
start,Lingiari
-14.8058,129.6923
-14.7835,129.6713
-14.8041,129.7320
-14.8132,129.7198
-14.8058,129.6923
end
start,Lingiari
-13.2084,130.1058
-13.2240,130.1077
-13.2098,130.0850
-13.1940,130.0893
-13.2084,130.1058
end
start,Lingiari
-13.1689,130.0192
-13.1247,130.0167
-13.1112,130.0184
-13.1497,130.0266
-13.1520,130.0576
-13.1742,130.0750
-13.1831,130.0410
-13.1689,130.0192
end
start,Lingiari
-13.4850,136.0768
-13.4651,136.0742
-13.4436,136.0821
-13.4649,136.1091
-13.4850,136.0768
end
start,Lingiari
-13.5052,136.1448
-13.5035,136.1269
-13.4825,136.1217
-13.4191,136.1417
-13.3761,136.1279
-13.3582,136.0925
-13.3575,136.1152
-13.3846,136.1505
-13.4375,136.1771
-13.4514,136.2048
-13.4695,136.1992
-13.4644,136.1770
-13.4853,136.1655
-13.4703,136.1421
-13.5098,136.1677
-13.5641,136.1405
-13.5438,136.1266
-13.5052,136.1448
end
start,Lingiari
-13.4651,136.2658
-13.4618,136.2443
-13.4392,136.2414
-13.4542,136.2696
-13.4651,136.2658
end
start,Lingiari
-12.5563,130.8637
-12.5461,130.8641
-12.5473,130.8717
-12.5583,130.8683
-12.5563,130.8637
end
start,Lingiari
-12.1843,136.1066
-12.1691,136.1406
-12.1901,136.1560
-12.1990,136.1102
-12.1843,136.1066
end
start,Lingiari
-12.1621,136.7501
-12.1612,136.7510
-12.1612,136.7519
-12.1623,136.7513
-12.1621,136.7501
end
start,Lingiari
-12.5621,130.5155
-12.5893,130.5213
-12.6102,130.5029
-12.6811,130.5422
-12.7098,130.5397
-12.7000,130.5242
-12.6617,130.5240
-12.6236,130.4866
-12.5803,130.4847
-12.5621,130.5155
end
start,Lingiari
-12.6241,130.3934
-12.6421,130.3880
-12.6427,130.3689
-12.6194,130.3706
-12.6241,130.3934
end
start,Lingiari
-12.6356,130.9524
-12.6220,130.9450
-12.6173,130.9480
-12.6276,130.9536
-12.6356,130.9524
end
start,Lingiari
-12.6081,130.4083
-12.6151,130.4018
-12.6024,130.3850
-12.6007,130.3916
-12.6081,130.4083
end
start,Lingiari
-12.5916,130.3915
-12.5813,130.4043
-12.5960,130.4160
-12.6018,130.4006
-12.5916,130.3915
end
start,Lingiari
-12.5745,130.4315
-12.5920,130.4167
-12.5771,130.4051
-12.5635,130.4206
-12.5745,130.4315
end
start,Lingiari
-12.1078,136.7966
-12.0887,136.7970
-12.0727,136.8239
-12.1382,136.8253
-12.1329,136.8002
-12.1078,136.7966
end
start,Lingiari
-12.1325,136.0279
-12.1035,136.0260
-12.0926,136.0355
-12.1015,136.0475
-12.1596,136.0287
-12.1325,136.0279
end
start,Lingiari
-12.1178,131.0020
-12.0952,131.0321
-12.1090,131.0545
-12.0936,131.0438
-12.1171,131.0719
-12.1301,131.0326
-12.1178,131.0020
end
start,Lingiari
-12.0179,131.1221
-12.0235,131.1045
-12.0149,131.0728
-12.0009,131.1271
-12.0146,131.1354
-12.0179,131.1221
end
start,Lingiari
-12.0875,132.3374
-12.0761,132.4013
-12.1205,132.4219
-12.1393,132.4095
-12.1389,132.3875
-12.0875,132.3374
end
start,Lingiari
-12.1054,134.9241
-12.1388,134.9019
-12.1259,134.8690
-12.0706,134.8661
-12.0429,134.8476
-12.0681,134.9106
-12.1054,134.9241
end
start,Lingiari
-12.0704,131.0625
-12.0527,131.0983
-12.0594,131.1267
-12.0753,131.1059
-12.0704,131.0625
end
start,Lingiari
-12.0535,131.0027
-12.0361,131.0233
-12.0340,131.0640
-12.0554,131.0432
-12.0535,131.0027
end
start,Lingiari
-12.0568,136.1337
-12.0604,136.1396
-12.0534,136.1612
-12.0396,136.1313
-12.0251,136.1333
-12.0410,136.1554
-12.0132,136.1714
-12.0270,136.1925
-12.0007,136.1892
-11.9961,136.2029
-12.0185,136.1985
-12.0359,136.2176
-12.0023,136.2715
-11.9752,136.2818
-11.9747,136.3138
-12.0126,136.3086
-12.0600,136.1977
-12.0766,136.1946
-12.0736,136.1283
-12.0536,136.1173
-12.0568,136.1337
end
start,Lingiari
-12.0319,134.9092
-12.0142,134.9543
-12.0352,134.9906
-12.0645,134.9574
-12.0319,134.9092
end
start,Lingiari
-12.0174,134.7981
-12.0129,134.8031
-12.0167,134.8098
-12.0462,134.8307
-12.0330,134.7981
-12.0174,134.7981
end
start,Lingiari
-13.8524,136.1987
-13.8241,136.2111
-13.7681,136.1856
-13.7853,136.1447
-13.8346,136.1682
-13.8358,136.1278
-13.8175,136.1065
-13.7878,136.1198
-13.7422,136.1091
-13.7222,136.1225
-13.7474,136.1452
-13.7483,136.1736
-13.7070,136.1736
-13.6796,136.1925
-13.6776,136.1813
-13.6624,136.2218
-13.7075,136.2924
-13.7354,136.3018
-13.7477,136.2538
-13.7596,136.2548
-13.7563,136.2763
-13.7870,136.2836
-13.7842,136.2599
-13.8500,136.2478
-13.8524,136.1987
end
start,Lingiari
-13.8579,136.4187
-13.8424,136.4078
-13.8156,136.4225
-13.8408,136.4956
-13.8214,136.5245
-13.7850,136.5308
-13.7891,136.5425
-13.8140,136.5392
-13.8299,136.5661
-13.7985,136.5741
-13.8070,136.5997
-13.7870,136.5940
-13.7887,136.6319
-13.7661,136.6305
-13.7636,136.6076
-13.7325,136.6106
-13.7179,136.5846
-13.6947,136.5913
-13.6933,136.5740
-13.6788,136.6176
-13.6889,136.6365
-13.7060,136.6170
-13.7203,136.6328
-13.7001,136.6474
-13.7021,136.6762
-13.6800,136.6785
-13.6517,136.6949
-13.6633,136.6975
-13.6659,136.7175
-13.6506,136.7259
-13.6622,136.7311
-13.7177,136.7198
-13.7394,136.6810
-13.7749,136.6970
-13.7709,136.7353
