start,Maranoa
-23.1493,146.8113
-23.1543,146.8139
-23.1601,146.8334
-23.1638,146.8410
-23.1635,146.8466
-23.1739,146.8629
-23.1822,146.8665
-23.1841,146.8698
-23.1946,146.8738
-23.1986,146.8742
-23.2082,146.8713
-23.2126,146.8722
-23.2195,146.8821
-23.2235,146.8842
-23.2286,146.8834
-23.2332,146.8802
-23.2384,146.8810
-23.2524,146.8777
-23.2617,146.8791
-23.2753,146.8749
-23.2780,146.8670
-23.2808,146.8634
-23.2852,146.8641
-23.2903,146.8614
-23.2937,146.8545
-23.2979,146.8534
-23.3046,146.8546
-23.3155,146.9326
-23.2601,146.9399
-23.2635,146.9763
-23.2798,147.0790
-23.3071,147.0747
-23.3229,147.1439
-23.3229,147.1488
-23.3257,147.1518
-23.3263,147.1582
-23.3317,147.1577
-23.3397,147.1617
-23.3512,147.2866
-23.3625,147.2828
-23.3667,147.2744
-23.3841,147.2650
-23.3947,147.2652
-23.4045,147.2630
-23.4130,147.2645
-23.4380,147.2598
-23.4415,147.2578
-23.4472,147.2506
-23.4513,147.2493
-23.4589,147.2511
-23.4694,147.2603
-23.4628,147.2643
-23.4632,147.2660
-23.4692,147.2732
-23.4727,147.2737
-23.4816,147.2792
-23.5005,147.2821
-23.5134,147.2782
-23.5215,147.2797
-23.5247,147.2837
-23.5367,147.2725
-23.5390,147.2640
-23.5430,147.2582
-23.5429,147.2503
-23.5463,147.2463
-23.5526,147.2320
-23.5509,147.2194
-23.5681,147.2197
-23.5737,147.2122
-23.5760,147.2121
-23.5883,147.2204
-23.5935,147.2200
-23.6019,147.2055
-23.6091,147.1981
-23.6212,147.2021
-23.6266,147.2009
-23.6313,147.2032
-23.6366,147.2113
-23.6394,147.2116
-23.6526,147.2035
-23.6546,147.2005
-23.6582,147.2033
-23.6683,147.2050
-23.6759,147.2095
-23.6779,147.2086
-23.6779,147.2049
-23.6845,147.1957
-23.6914,147.1986
-23.7031,147.1949
-23.7040,147.1966
-23.7086,147.1976
-23.7122,147.1940
-23.7182,147.1936
-23.7249,147.1976
-23.7271,147.2007
-23.7338,147.2008
-23.7353,147.1988
-23.7411,147.1985
-23.7455,147.1951
-23.7549,147.2001
-23.7595,147.2010
-23.7656,147.1990
-23.7733,147.1997
-23.7782,147.2113
-23.7839,147.2188
-23.7841,147.2234
-23.7874,147.2295
-23.7910,147.2275
-23.8107,147.2379
-23.8190,147.2313
-23.8263,147.2310
-23.8321,147.2276
-23.8361,147.2301
-23.8387,147.2296
-23.8479,147.2364
-23.8523,147.2366
-23.8547,147.2347
-23.8622,147.2389
-23.8813,147.2335
-23.8917,147.2364
-23.8981,147.2410
-23.9032,147.2411
-23.9082,147.2387
-23.9128,147.2389
-23.9120,147.2343
-23.9149,147.2305
-23.9147,147.2273
-23.9165,147.2269
-23.9256,147.2135
-23.9338,147.2106
-23.9398,147.2032
-23.9390,147.1982
-23.9415,147.1946
-23.9415,147.1809
-23.9429,147.1786
-23.9535,147.1725
-23.9553,147.1689
-23.9673,147.1683
-23.9728,147.1629
-23.9756,147.1639
-23.9761,147.1703
-23.9780,147.1733
-24.0048,147.1838
-24.0129,147.1787
-24.0164,147.1784
-24.0267,147.1849
-24.0360,147.1866
-24.0434,147.1831
-24.0503,147.1761
-24.0600,147.1741
-24.0692,147.1776
-24.0734,147.1827
-24.0857,147.1833
-24.0929,147.1612
-24.0925,147.1563
-24.0859,147.1488
-24.0856,147.1415
-24.0915,147.1330
-24.0944,147.1217
-24.0928,147.1187
-24.0933,147.1102
-24.1044,147.0895
-24.1142,147.0810
-24.1136,147.0786
-24.1176,147.0736
-24.1182,147.0652
-24.1161,147.0620
-24.1185,147.0504
-24.1256,147.0374
-24.1321,147.0373
-24.1375,147.0286
-24.1405,147.0285
-24.1565,146.9998
-24.1553,146.9945
-24.1613,146.9898
-24.1626,146.9832
-24.1601,146.9736
-24.1633,146.9722
-24.1635,146.9693
-24.1674,146.9647
-24.1635,146.9563
-24.1743,146.9560
-24.1790,146.9526
-24.1883,146.9497
-24.1968,146.9498
-24.1989,146.9526
-24.2033,146.9541
-24.2068,146.9534
-24.2141,146.9489
-24.2192,146.9402
-24.2291,146.9437
-24.2378,146.9380
-24.2433,146.9369
-24.2536,146.9280
-24.2567,146.9274
-24.2789,146.9268
-24.2842,146.9348
-24.2905,146.9351
-24.2946,146.9230
-24.3126,146.9130
-24.3175,146.9125
-24.3201,146.9066
-24.3285,146.8997
-24.3307,146.8847
-24.3376,146.8736
-24.3395,146.8755
-24.3459,146.8737
-24.3479,146.8746
-24.3602,146.8653
-24.3687,146.8642
-24.3722,146.8536
-24.3687,146.8476
-24.3690,146.8441
-24.3718,146.8405
-24.3732,146.8346
-24.3716,146.8308
-24.3740,146.8192
-24.3767,146.8143
-24.3943,146.8121
-24.4030,146.8071
-24.4067,146.8021
-24.4099,146.7908
-24.4049,146.7780
-24.4049,146.7728
-24.4078,146.7704
-24.4052,146.7666
-24.4036,146.7595
-24.4069,146.7471
-24.4185,146.7297
-24.3968,146.7213
-24.3847,146.7219
-24.3775,146.7127
-24.3779,146.7012
-24.3809,146.6972
-24.3793,146.6931
-24.3742,146.6889
-24.3751,146.6861
-24.3783,146.6851
-24.3802,146.6819
-24.3867,146.6819
-24.3904,146.6693
-24.4012,146.6634
-24.4033,146.6598
-24.4040,146.6558
-24.3999,146.6522
-24.3991,146.6417
-24.4012,146.6389
-24.4011,146.6357
-24.4051,146.6384
-24.4052,146.6300
-24.4032,146.6271
-24.4070,146.6241
-24.4079,146.6208
-24.4118,146.6178
-24.4148,146.6122
-24.4131,146.6092
-24.4171,146.5958
-24.4148,146.5911
-24.4151,146.5871
-24.4127,146.5853
-24.4115,146.5811
-24.4124,146.5768
-24.4112,146.5752
-24.4128,146.5724
-24.4167,146.5739
-24.4233,146.5819
-24.4256,146.5818
-24.4277,146.5868
-24.4320,146.5890
-24.4340,146.5884
-24.4360,146.5904
-24.4416,146.5879
-24.4458,146.5957
-24.4530,146.5960
-24.4569,146.6078
-24.4613,146.6081
-24.4583,146.6112
-24.4580,146.6212
-24.4671,146.6200
-24.4786,146.6226
-24.4814,146.6246
-24.4937,146.6260
-24.4961,146.6278
-24.4977,146.6318
-24.4966,146.6351
-24.5002,146.6399
-24.5180,146.6482
-24.5194,146.6463
-24.5233,146.6458
-24.5337,146.6532
-24.5406,146.6613
-24.5480,146.6640
-24.5499,146.6615
-24.5526,146.6615
-24.5574,146.6656
-24.5624,146.6640
-24.5622,146.6674
-24.5644,146.6685
-24.5648,146.6717
-24.5670,146.6723
-24.5728,146.6796
-24.5808,146.6800
-24.5812,146.6762
-24.5853,146.6733
-24.5861,146.6700
-24.5908,146.6668
-24.5970,146.6747
-24.6001,146.6821
-24.6019,146.6835
-24.6058,146.6824
-24.6084,146.6847
-24.6157,146.6992
-24.6188,146.7135
-24.6260,146.7214
-24.6280,146.7273
-24.6277,146.7375
-24.6291,146.7393
-24.6337,146.7402
-24.6427,146.7371
-24.6503,146.7405
-24.6523,146.7504
-24.6577,146.7518
-24.6633,146.7579
-24.6643,146.7680
-24.6627,146.7741
-24.6568,146.7767
-24.6361,146.7797
-24.6262,146.7874
-24.6205,146.8001
-24.6389,146.8085
-24.6365,146.8136
-24.6260,146.8190
-24.6243,146.8339
-24.6152,146.8420
-24.6122,146.8427
-24.6087,146.8486
-24.6044,146.8478
-24.6034,146.8525
-24.5937,146.8569
-24.5898,146.8569
-24.5873,146.8607
-24.5858,146.8661
-24.5884,146.8693
-24.5933,146.8684
-24.5977,146.8759
-24.6013,146.8785
-24.6008,146.8831
-24.5971,146.8831
-24.5963,146.8866
-24.6022,146.8844
-24.6069,146.8857
-24.6080,146.8840
-24.6115,146.8840
-24.6147,146.8899
-24.6175,146.8910
-24.6234,146.8918
-24.6288,146.8947
-24.6369,146.8931
-24.6402,146.8941
-24.6436,146.8968
-24.6436,146.9005
-24.6463,146.8993
-24.6485,146.9006
-24.6487,146.9056
-24.6471,146.9082
-24.6513,146.9102
-24.6528,146.9128
-24.6585,146.9125
-24.6606,146.9191
-24.6662,146.9229
-24.6749,146.9332
-24.6880,146.9363
-24.6919,146.9400
-24.7043,146.9420
-24.7064,146.9389
-24.7069,146.9330
-24.7116,146.9291
-24.7166,146.9208
-24.7234,146.9199
-24.7270,146.9156
-24.7323,146.9131
-24.7366,146.9134
-24.7438,146.9094
-24.7453,146.9005
-24.7529,146.8982
-24.7582,146.8939
-24.7624,146.8822
-24.7734,146.8802
-24.7774,146.8840
-24.7789,146.8891
-24.7883,146.8925
-24.8051,146.9033
-24.8141,147.0915
-24.8464,147.0894
-24.8489,147.1388
-24.8828,147.1366
-24.8945,147.2905
-24.8911,147.2917
-24.8907,147.2949
-24.8830,147.2975
-24.8819,147.3009
-24.8831,147.3097
-24.8807,147.3118
-24.8782,147.3116
-24.8776,147.3148
-24.8711,147.3220
-24.8735,147.3258
-24.8718,147.3411
-24.8761,147.3496
-24.8755,147.3605
-24.8777,147.3656
-24.8771,147.3691
-24.8715,147.3729
-24.8713,147.3807
-24.8740,147.3896
-24.8788,147.3926
-24.8765,147.3958
-24.8813,147.4197
-24.8777,147.4807
-24.8736,147.4885
-24.8494,147.4962
-24.8411,147.5050
-24.8373,147.5071
-24.8327,147.5078
-24.8231,147.5055
-24.8207,147.5072
-24.8221,147.5100
-24.8279,147.5139
-24.8296,147.5187
-24.8289,147.5226
-24.8234,147.5301
-24.8216,147.5352
-24.8193,147.5437
-24.8189,147.5582
-24.8213,147.5619
-24.8318,147.5678
-24.8335,147.5767
-24.8298,147.5850
-24.8186,147.5958
-24.8071,147.6114
-24.8046,147.6178
-24.8034,147.6343
-24.8001,147.6394
-24.7941,147.6440
-24.7764,147.6439
-24.7720,147.6468
-24.7719,147.6600
-24.7698,147.671
-24.7727,147.6779
-24.7720,147.6819
-24.7631,147.6900
-24.7598,147.6994
-24.7517,147.7120
-24.7422,147.7196
-24.7316,147.7332
-24.7300,147.7394
-24.7309,147.7505
-24.7283,147.7599
-24.7329,147.7684
-24.7390,147.7750
-24.7334,147.7883
-24.7362,147.7959
-24.7344,147.8047
-24.7362,147.8115
-24.7360,147.8224
-24.7405,147.8262
-24.7534,147.8305
-24.7584,147.8399
-24.7660,147.8481
-24.7792,147.8518
-24.7840,147.8553
-24.7880,147.8697
-24.7961,147.8818
-24.8008,147.8930
-24.8072,147.9000
-24.8163,147.9037
-24.8216,147.9142
-24.8274,147.9163
-24.8364,147.9128
-24.8414,147.9144
-24.8585,147.9353
-24.8593,147.9390
-24.8657,147.9428
-24.8683,147.9421
-24.8710,147.9477
-24.8742,147.9469
-24.8813,147.9527
-24.8788,147.9600
-24.8805,147.9706
-24.8847,147.9781
-24.8965,147.9899
-24.8994,147.9950
-24.8968,148.0042
-24.8978,148.0117
-24.9113,148.0296
-24.9121,148.0347
-24.9093,148.0446
-24.9108,148.0520
-24.9137,148.0561
-24.9245,148.0631
-24.9337,148.0647
-24.9410,148.0735
-24.9454,148.0762
-24.9502,148.0760
-24.9580,148.0729
-24.9666,148.0777
-24.9785,148.0763
-25.0001,148.0839
-25.0088,148.0914
-25.0165,148.0957
-25.0228,148.1163
-25.0420,148.1216
-25.0439,148.1250
-25.0425,148.1338
-25.0599,148.1437
-25.0613,148.1501
-25.0647,148.1525
-25.0681,148.1527
-25.0841,148.1605
-25.0845,148.1750
-25.0795,148.1812
-25.0820,148.1991
-25.0792,148.2059
-25.0802,148.2100
-25.0864,148.2133
-25.0987,148.2290
-25.1006,148.2346
-25.1143,148.2362
-25.1205,148.2419
-25.1276,148.2518
-25.1335,148.2555
-25.1356,148.2610
-25.1410,148.2669
-25.1451,148.2686
-25.1488,148.2767
-25.1506,148.2748
-25.1531,148.2760
-25.1571,148.2818
-25.1588,148.2819
-25.1612,148.2911
-25.1648,148.2959
-25.1752,148.2918
-25.1781,148.2942
-25.1818,148.2929
-25.1887,148.2964
-25.1904,148.2956
-25.1937,148.3002
-25.2040,148.3063
-25.2123,148.3055
-25.2130,148.3125
-25.2102,148.3262
-25.2136,148.3300
-25.2150,148.3348
-25.2178,148.3370
-25.2201,148.3477
-25.2291,148.3520
-25.2328,148.3623
-25.2313,148.3683
-25.2326,148.3722
-25.2358,148.3778
-25.2417,148.3803
-25.2436,148.3831
-25.2434,148.3965
-25.2474,148.4016
-25.2580,148.4085
-25.2601,148.4121
-25.2595,148.4148
-25.2493,148.4233
-25.2535,148.4352
-25.2547,148.4513
-25.2472,148.4660
-25.2454,148.4730
-25.2471,148.4932
-25.2434,148.5185
-25.2441,148.5324
-25.2456,148.5383
-25.2524,148.5489
-25.2541,148.5543
-25.2499,148.5684
-25.2628,148.5928
-25.2728,148.6000
-25.2799,148.6256
-25.2794,148.6331
-25.2841,148.6431
-25.2983,148.6530
-25.3109,148.6665
-25.3084,148.6708
-25.2992,148.6781
-25.2893,148.6799
-25.2819,148.6836
-25.2821,148.6883
-25.2851,148.6951
-25.2845,148.6998
-25.2824,148.7039
-25.2779,148.7060
-25.2775,148.7083
-25.2824,148.7152
-25.2879,148.7274
-25.2853,148.7342
-25.2784,148.7363
-25.2797,148.7452
-25.3107,148.7591
-25.3148,148.7477
-25.3241,148.7473
-25.3275,148.7389
-25.3336,148.7335
-25.3377,148.7331
-25.3425,148.7266
-25.3869,148.7189
-25.3887,148.7190
-25.3903,148.7248
-25.3932,148.7272
-25.3956,148.7252
-25.4008,148.7258
-25.4097,148.7371
-25.4132,148.7441
-25.4173,148.7617
-25.4242,148.7655
-25.4317,148.7748
-25.4349,148.7759
-25.4358,148.7838
-25.4391,148.7912
-25.4454,148.7980
-25.4459,148.8007
-25.4429,148.8008
-25.4408,148.8045
-25.4410,148.8109
-25.4434,148.8137
-25.4459,148.8123
-25.4520,148.8148
-25.4599,148.8334
-25.4647,148.8637
-25.4612,148.8728
-25.4697,148.8768
-25.4724,148.9004
-25.4714,148.9049
-25.4672,148.9071
-25.4675,148.9190
-25.4632,148.9277
-25.4651,148.9347
-25.4637,148.9389
-25.4627,148.9400
-25.4621,148.9375
-25.4585,148.9380
-25.5597,149.0243
-25.5886,148.9837
-25.5909,148.9876
-25.6134,148.9856
-25.6185,148.9909
-25.6175,148.9953
-25.6056,148.9899
-25.6012,148.9922
-25.6040,149.0196
-25.6081,149.0255
-25.6110,149.0258
-25.6123,149.0238
-25.6096,149.0147
-25.6108,149.0124
-25.6123,149.0126
-25.6167,149.0182
-25.6201,149.0278
-25.6270,149.0326
-25.6292,149.0381
-25.6315,149.0382
-25.6405,149.0325
-25.6417,149.0355
-25.6365,149.0408
-25.6322,149.0413
-25.6298,149.0443
-25.6239,149.0457
-25.6251,149.0569
-25.6279,149.0613
-25.6298,149.0615
-25.6340,149.0581
-25.6385,149.0504
-25.6473,149.0491
-25.6500,149.0528
-25.6466,149.0592
-25.6472,149.0655
-25.6506,149.0638
-25.6537,149.0586
-25.6616,149.0542
-25.6674,149.0538
-25.6694,149.0569
-25.6758,149.0404
-25.6728,149.0318
-25.6820,149.0194
-25.6822,149.0161
-25.6950,149.0085
-25.6978,149.0020
-25.6977,148.9962
-25.7133,148.9735
-25.7116,148.9697
-25.7041,148.9676
-25.6931,148.9575
-25.6928,148.9494
-25.6855,148.9423
-25.6852,148.9391
-25.6949,148.9393
-25.6983,148.9368
-25.6999,148.9302
-25.7038,148.9256
-25.7088,148.9287
-25.7169,148.9246
-25.7194,148.9256
-25.7205,148.9284
-25.7228,148.9286
-25.7251,148.9264
-25.7253,148.9218
-25.7285,148.9198
-25.7297,148.9221
-25.7345,148.9213
-25.7401,148.9240
-25.7600,148.9007
-25.7611,148.9095
-25.7650,148.9088
-25.7675,148.9112
-25.7709,148.9446
-25.7897,148.9611
-25.7871,148.9774
-25.7822,148.9866
-25.7822,148.9959
-25.7781,149.0036
-25.7768,149.0121
-25.7689,149.0229
-25.7696,149.0313
-25.7755,149.0316
-25.7989,149.0252
-25.8044,149.0282
-25.8218,149.0437
-25.8275,149.0442
-25.8289,149.0546
-25.8346,149.0606
-25.8381,149.0622
-25.8385,149.0652
-25.8424,149.0680
-25.8429,149.0756
-25.8534,149.0844
-25.8631,149.1012
-25.8761,149.1105
-25.8837,149.1103
-25.8851,149.1047
-25.8922,149.1002
-25.8952,149.0936
-25.8977,149.0918
-25.8998,149.0936
-25.9041,149.0923
-25.9066,149.0910
-25.9078,149.0877
-25.9156,149.0829
-25.9245,149.0799
-25.9323,149.0837
-25.9411,149.0855
-25.9403,149.0943
-25.9478,149.0972
-25.9456,149.1019
-25.9458,149.1088
-25.9511,149.1245
-25.9481,149.1311
-25.9479,149.1377
-25.9458,149.1380
-25.9660,149.3028
-25.9252,149.3278
-25.9249,149.3301
-25.9194,149.3356
-25.9208,149.3422
-25.9189,149.3463
-25.9148,149.3485
-25.9095,149.3556
-25.9065,149.3561
-25.9067,149.3593
-25.9047,149.3632
-25.8981,149.3650
-25.8905,149.3746
-25.8888,149.3827
-25.8758,149.3991
-25.8825,149.4016
-25.8918,149.4835
-25.9335,149.4768
-25.9441,149.5754
-25.8863,149.5844
