start,Lingiari
-15.6482,136.7801
-15.6471,136.7850
-15.6548,136.8073
-15.6552,136.8075
-15.6552,136.8085
-15.6566,136.8127
-15.6592,136.8155
-15.6590,136.8195
-15.6616,136.8272
-15.6623,136.8282
-15.6637,136.8287
-15.6674,136.8266
-15.6725,136.8318
-15.6733,136.8321
-15.6747,136.8313
-15.6750,136.8283
-15.6768,136.8280
-15.6797,136.8334
-15.6813,136.8308
-15.6859,136.8316
-15.6872,136.8371
-15.6897,136.8328
-15.6874,136.8286
-15.6882,136.8241
-15.6936,136.8189
-15.6980,136.8171
-15.7003,136.8138
-15.7003,136.8138
-15.6942,136.8021
-15.6868,136.8049
-15.6852,136.8042
-15.6848,136.7992
-15.6870,136.7946
-15.6843,136.7910
-15.6868,136.7880
-15.6867,136.7878
-15.6872,136.7875
-15.6905,136.7834
-15.7013,136.7795
-15.7046,136.7816
-15.7065,136.7854
-15.7028,136.7932
-15.7033,136.7981
-15.7061,136.7964
-15.7108,136.7968
-15.7135,136.7985
-15.7135,136.8012
-15.7238,136.8044
-15.7238,136.8044
-15.7238,136.8044
-15.7283,136.7967
-15.7286,136.7914
-15.7323,136.7899
-15.7441,136.7699
-15.7425,136.7683
-15.7427,136.7642
-15.7455,136.7640
-15.7446,136.7579
-15.7482,136.7554
-15.7499,136.7461
-15.7546,136.7466
-15.7562,136.7416
-15.7595,136.7403
-15.7611,136.7410
-15.7623,136.7389
-15.7621,136.7382
-15.7591,136.7371
-15.7583,136.7369
-15.7584,136.7368
-15.7362,136.7283
-15.7353,136.7284
-15.7166,136.7473
-15.7163,136.7489
-15.7186,136.7490
-15.7127,136.7512
-15.7091,136.7480
-15.7074,136.7494
-15.7080,136.7474
-15.7048,136.7459
-15.7030,136.7388
-15.7050,136.7359
-15.7024,136.7308
-15.7024,136.7308
-15.7024,136.7308
-15.6999,136.7318
-15.6997,136.7339
-15.6971,136.7368
-15.6908,136.7370
-15.6889,136.7359
-15.6860,136.7370
end
start,Lingiari
-15.6119,136.7920
-15.6118,136.7915
-15.6105,136.7921
-15.6088,136.7900
-15.6090,136.7812
-15.6080,136.7772
-15.6080,136.7772
-15.6016,136.7823
-15.5992,136.7835
-15.5924,136.7883
-15.5913,136.7901
-15.6028,136.8181
-15.6034,136.8185
-15.6119,136.7920
end
start,Lingiari
-15.5374,136.5264
-15.5345,136.5419
-15.5346,136.5422
-15.5306,136.5668
-15.5291,136.5701
-15.5291,136.5701
-15.5291,136.5701
-15.5224,136.5738
-15.5219,136.5735
-15.5108,136.5786
-15.5108,136.5786
-15.5139,136.5829
-15.5164,136.5924
-15.5196,136.6001
-15.5222,136.6044
-15.5217,136.6054
-15.5238,136.6104
-15.5238,136.6104
-15.5427,136.6145
-15.5434,136.6136
-15.5455,136.6146
-15.5464,136.6119
-15.5483,136.6146
-15.5543,136.6154
-15.5553,136.6172
-15.5554,136.6172
-15.5577,136.6149
-15.5587,136.6106
-15.5616,136.6117
-15.5608,136.6048
-15.5715,136.6009
-15.5750,136.6015
-15.5812,136.5965
-15.5812,136.5965
-15.5887,136.5953
-15.5942,136.5991
-15.6022,136.6006
-15.6106,136.5989
-15.6138,136.6030
-15.6156,136.6033
-15.6165,136.6004
-15.6200,136.5989
-15.6221,136.6001
-15.6223,136.6039
-15.6237,136.6050
-15.6237,136.6050
-15.6237,136.6050
-15.6260,136.5942
-15.6308,136.5919
-15.6371,136.5923
-15.6453,136.5896
-15.6453,136.5896
-15.6398,136.5508
-15.6398,136.5508
-15.6398,136.5508
-15.6398,136.5508
-15.6543,136.5228
-15.6543,136.5228
-15.6495,136.5109
-15.6434,136.5054
-15.6435,136.4961
-15.6429,136.4947
-15.6421,136.4948
-15.6307,136.5057
-15.6263,136.5109
-15.6226,136.5133
-15.6226,136.5133
-15.6139,136.5108
-15.6052,136.5116
-15.6026,136.5090
-15.5991,136.5086
-15.5920,136.5045
-15.5811,136.5171
-15.5762,136.5200
-15.5630,136.5220
-15.5539,136.5182
-15.5529,136.5160
-15.5445,136.5110
-15.5445,136.5110
-15.5383,136.5256
-15.5376,136.5260
-15.5374,136.5264
end
start,Lingiari
-15.6351,136.8384
-15.6304,136.8444
-15.6303,136.8470
-15.6282,136.8506
-15.6247,136.8516
-15.6229,136.8490
-15.6230,136.8458
-15.6229,136.8455
-15.6173,136.8426
-15.6183,136.8299
-15.6135,136.8378
-15.6134,136.8394
-15.6102,136.8430
-15.6061,136.8429
-15.6039,136.8411
-15.6047,136.8354
-15.6016,136.8310
-15.6016,136.8310
-15.6016,136.8310
-15.5870,136.8493
-15.5865,136.8517
-15.5835,136.8552
-15.5820,136.8555
-15.5818,136.8558
-15.5813,136.8556
-15.5803,136.8558
-15.5698,136.8525
-15.5675,136.8506
