start,Denison
-41.1287,146.8314
-41.1272,146.8317
-41.1262,146.8336
-41.1251,146.8338
-41.1259,146.8308
-41.1313,146.8276
-41.1073,146.8263
-41.1053,146.8280
-41.1043,146.8277
-41.1037,146.8303
-41.1030,146.8320
-41.1042,146.8276
-41.1070,146.8261
-41.0871,146.8112
-41.0835,146.8112
-41.0778,146.8043
-41.0761,146.8053
-41.0746,146.8036
-41.0695,146.8038
-41.0694,146.8004
-41.0645,146.7987
-41.0651,146.7948
-41.0633,146.7945
-41.0541,146.7866
-41.0568,146.7928
-41.0608,146.7971
-41.0606,146.7999
-41.0634,146.8018
-41.0629,146.8071
-41.0386,146.8444
-41.0270,146.8676
-41.0239,146.8718
-41.0188,146.8748
-41.0201,146.8766
-41.0196,146.8819
-41.0278,146.8886
-41.0296,146.8937
-41.0289,146.9014
-41.0267,146.9063
-41.0306,146.9191
-41.0256,146.9416
-41.0274,146.9592
-41.0255,146.9476
-40.9811,147.0194
-40.9814,147.0210
-40.9802,147.0208
-40.9903,147.0319
-40.9891,147.0445
-40.9996,147.0727
-40.9966,147.0983
-40.9980,147.1002
-40.9945,147.1160
-40.9987,147.1150
-41.0030,147.1230
-41.0066,147.1339
-41.0064,147.1379
-41.0089,147.1392
-41.0100,147.1448
-41.0129,147.1478
-41.0121,147.1554
-41.0136,147.1589
-41.0349,147.1344
-41.0314,147.1578
-41.0079,147.1617
-41.0097,147.1695
-41.0083,147.1785
-41.0090,147.2026
-40.9950,147.2144
-40.9891,147.2247
-40.9796,147.2345
-40.9617,147.2478
-40.9565,147.2500
-40.9534,147.2494
-40.9515,147.2597
-40.9461,147.2683
-40.9461,147.2736
-40.9416,147.2798
-40.9444,147.2837
-40.9466,147.2812
-40.9519,147.2848
-40.9561,147.2926
-40.9576,147.3025
-40.9544,147.3198
-40.9429,147.3373
-40.9394,147.3456
-40.9822,147.3554
-40.9831,147.3609
-40.9827,147.3618
-40.9820,147.3598
-40.9804,147.3842
-40.9982,147.3919
-41.0000,147.3945
-41.0085,147.3989
-41.0139,147.4121
-41.0139,147.4257
-41.0127,147.4303
-41.0098,147.4298
-41.0118,147.4345
-41.0090,147.4327
-41.0099,147.4051
-41.0029,147.3970
-41.0068,147.4126
-41.0029,147.4414
-40.9964,147.4577
-40.9793,147.4907
-40.9664,147.5080
-40.9506,147.5255
-40.9272,147.5463
-40.8931,147.5828
-40.8719,147.5886
-40.8716,147.5907
-40.8704,147.5890
-40.8636,147.5908
-40.8637,147.5940
