start,Barker
-37.0741,139.7439
-37.0741,139.7439
-37.0741,139.7439
-37.0412,139.7418
-37.0394,139.7427
-37.0295,139.7434
-37.0213,139.7405
-37.0213,139.7405
-37.0213,139.7405
-36.9989,139.7200
-36.9860,139.7011
-36.9591,139.6710
-36.9577,139.6702
-36.9420,139.6759
-36.9420,139.6759
-36.9401,139.6983
-36.9296,139.7174
-36.9192,139.7295
-36.9145,139.7405
-36.9145,139.7407
-36.9144,139.7408
-36.9011,139.7720
-36.8993,139.7798
-36.8948,139.7876
-36.8807,139.8004
-36.8772,139.8082
-36.8685,139.8187
-36.8575,139.8256
-36.8490,139.8363
-36.8395,139.8428
-36.8249,139.8500
-36.8249,139.8500
-36.8249,139.8500
-36.7838,139.8598
-36.7534,139.8631
-36.7238,139.8638
-36.6923,139.8619
-36.6474,139.8511
-36.5873,139.8319
-36.5636,139.8234
-36.5569,139.8214
-36.5528,139.8195
-36.5011,139.8010
-36.4588,139.7829
-36.4106,139.7574
-36.3124,139.7093
-36.3124,139.7093
-36.3124,139.7093
-36.2150,139.6508
-36.1327,139.5939
-36.1327,139.5939
-36.1327,139.5939
-36.0765,139.5505
-36.0360,139.5165
-35.9998,139.4841
-35.9998,139.4841
-35.9998,139.4841
-35.9272,139.4135
-35.8505,139.3305
-35.8274,139.3030
-35.8245,139.3000
-35.8231,139.2980
-35.7982,139.2684
-35.7545,139.2119
-35.7315,139.1791
-35.6933,139.1236
-35.6565,139.0666
-35.6103,138.9869
-35.6103,138.9869
-35.5592,138.8874
-35.5579,138.8892
-35.5582,138.8996
-35.5549,138.9043
-35.5624,138.9207
-35.5607,138.9207
-35.5587,138.9271
-35.5620,138.9296
-35.5622,138.9323
-35.5556,138.9354
-35.5560,138.9430
-35.5477,138.9610
-35.5417,138.9661
-35.5293,138.9668
-35.5182,138.9810
-35.5202,138.9868
-35.5188,138.9896
-35.5163,138.9905
-35.5130,139.0017
-35.5127,139.0069
-35.5151,139.0163
-35.5120,139.0223
-35.5140,139.0297
-35.5132,139.0334
-35.5009,139.0467
-35.4717,139.1447
-35.3044,139.1551
-35.3037,139.1525
-35.3028,139.1552
-35.2534,139.1583
-35.2323,139.1076
-35.2166,139.0860
-35.2148,139.0664
-35.1659,139.0666
-35.1460,139.0376
-35.1442,139.0387
-35.1403,139.0363
-35.1421,139.0327
-35.1387,139.0274
-35.1298,139.0304
-35.1302,139.0326
-35.1242,139.0354
-35.1233,139.0372
-35.1205,139.0372
-35.1174,139.0409
-35.1150,139.0409
-35.1145,139.0432
-35.1116,139.0440
-35.1032,139.0406
-35.0968,139.0423
-35.0954,139.0368
-35.0894,139.0391
-35.0869,139.0373
-35.0846,139.0380
-35.0824,139.0349
-35.0775,139.0361
-35.0736,139.0318
-35.0688,139.0343
-35.0660,139.0309
-35.0643,139.0335
-35.0614,139.0290
-35.0523,139.0317
-35.0483,139.0295
-35.0464,139.0316
-35.0403,139.0333
-35.0333,139.0310
-35.0310,139.0328
-35.0261,139.0330
-35.0252,139.0365
-35.0229,139.0358
-35.0211,139.0373
-35.0162,139.0355
-35.0134,139.0375
-35.0117,139.0348
-35.0096,139.0358
-35.0018,139.0312
-34.9985,139.0353
-34.9948,139.0344
-34.9953,139.0367
-34.9908,139.0351
-34.9840,139.0369
-34.9766,139.0411
-34.9729,139.0392
-34.9738,139.0368
-34.9707,139.0349
-34.9697,139.0379
-34.9670,139.0286
-34.9639,139.0273
-34.9624,139.0286
-34.9570,139.0285
-34.9568,139.0263
-34.9551,139.0267
-34.9525,139.0220
-34.9527,139.0190
-34.9488,139.0203
-34.9286,139.0349
-34.8948,138.9751
-34.8829,138.9807
-34.8775,138.9751
-34.8790,138.9894
-34.8747,138.9915
-34.8727,138.9989
-34.8701,138.9990
-34.8646,139.0094
-34.8568,139.0030
-34.8546,139.0039
-34.8508,139.0019
-34.8469,139.0056
-34.8412,139.0069
-34.8385,139.0029
-34.8323,139.0018
-34.8312,139.0034
-34.8323,139.0101
-34.8309,139.0162
-34.8233,139.0250
-34.8251,139.0306
-34.8224,139.0388
-34.8171,139.0435
-34.8159,139.0439
-34.8153,139.0417
-34.8133,139.0439
-34.8078,139.0453
-34.7981,139.0559
-34.8001,139.0586
-34.7923,139.0671
-34.7911,139.0654
-34.7768,139.0805
-34.7733,139.0759
-34.7683,139.0814
-34.7688,139.0838
-34.7653,139.0848
-34.7663,139.0862
-34.7592,139.0870
-34.7629,139.1384
-34.7698,139.1369
-34.7678,139.1415
-34.7685,139.1506
-34.7225,139.1554
-34.7128,139.1587
-34.7056,139.1582
-34.7039,139.1457
-34.7012,139.1398
-34.6951,139.1349
-34.6905,139.1216
-34.6900,139.1153
-34.6843,139.1178
-34.6681,139.0642
-34.6798,139.0658
-34.6726,139.0421
-34.6665,139.0338
-34.6672,139.0258
-34.6615,139.0211
-34.6743,139.0208
-34.6834,139.0281
-34.6908,139.0309
-34.6903,139.0356
-34.6932,139.0396
-34.6939,139.0460
-34.6957,139.0480
-34.6994,139.0484
-34.6991,139.0420
-34.6934,139.0208
-34.6956,139.0142
-34.6951,139.0073
-34.6862,138.9754
-34.6879,138.9696
-34.6846,138.9605
-34.6837,138.9497
-34.6739,138.9394
-34.6622,138.9415
-34.6594,138.9395
-34.6407,138.9351
-34.6377,138.9325
-34.6349,138.9323
-34.6348,138.9344
-34.6258,138.9322
-34.6218,138.9284
-34.6157,138.9286
-34.6188,138.9220
-34.6189,138.9181
-34.6238,138.9151
-34.6313,138.9038
-34.6305,138.8988
-34.6317,138.8944
-34.6063,138.8918
-34.6096,138.8950
-34.6094,138.8986
-34.6036,138.9007
-34.6029,138.9078
-34.5896,138.9248
-34.5851,138.9342
-34.5769,138.9410
-34.5717,138.9510
-34.5684,138.9466
-34.5658,138.9465
-34.5670,138.9441
-34.5622,138.9370
-34.5643,138.9331
-34.5630,138.9299
-34.5596,138.9326
-34.5591,138.9359
-34.5560,138.9365
-34.5551,138.9401
-34.5441,138.9471
-34.5388,138.9366
-34.5353,138.9387
-34.5344,138.9454
-34.5316,138.9487
-34.5288,138.9479
-34.5273,138.9499
-34.5255,138.9492
-34.5152,138.9593
-34.5113,138.9594
-34.5062,138.9633
-34.5071,138.9707
-34.4987,138.9701
-34.4904,138.9782
-34.4885,138.9772
-34.4863,138.9697
-34.4663,138.9781
-34.4600,138.9746
-34.4499,138.9732
-34.4585,139.0020
-34.4244,139.0576
-34.4200,139.0795
-34.4116,139.1012
-34.4097,139.0988
-34.4040,139.1001
-34.4010,139.0937
-34.3945,139.0962
-34.3929,139.0983
-34.3855,139.0983
-34.3825,139.1035
-34.3823,139.1086
-34.3789,139.1122
-34.3644,139.1151
-34.3618,139.1127
-34.3517,139.1167
-34.3483,139.1137
-34.3481,139.1104
-34.3371,139.1074
-34.3343,139.1043
-34.3319,139.1060
-34.3300,139.1053
-34.3330,139.1484
-34.3352,139.1558
-34.3328,139.1555
-34.3319,139.1584
-34.3271,139.1627
-34.3257,139.1683
-34.3269,139.1715
-34.3214,139.1911
-34.3121,139.1996
-34.3100,139.2092
-34.3108,139.2151
-34.2958,139.2643
-34.3193,139.2642
-34.3193,139.3507
-34.2091,139.3510
-34.1754,139.3580
-34.1260,139.3567
-33.8030,139.3558
-33.8007,139.6997
-33.8751,139.6999
-33.8753,139.8570
-33.9436,139.8572
-33.9452,140.2159
-33.9985,140.2160
-34.0160,140.2161
-34.0057,140.2161
-34.0048,140.3734
-33.3111,140.3747
-33.3111,141.0023
-34.0199,141.0029
-34.0213,141.0029
-34.0213,141.0029
-34.0215,141.0029
-34.0196,140.9994
-34.0209,140.9960
-34.0314,140.9928
-34.0317,140.9897
-34.0306,140.9885
-34.0278,140.9910
-34.0294,140.9877
-34.0305,140.9882
-34.0296,140.9872
-34.0267,140.9854
-34.0207,140.9855
-34.0160,140.9804
-34.0102,140.9867
-34.0093,140.9753
-34.0073,140.9758
-34.0046,140.9808
-33.9999,140.9805
-33.9972,140.9763
-33.9972,140.9692
-33.9898,140.9676
-33.9834,140.9692
-33.9806,140.9636
-34.0958,140.9616
-34.4927,140.9644
-34.4954,140.9663
-34.4972,140.9644
-35.3891,140.9662
-35.7485,140.9631
-36.3748,140.9675
-36.7342,140.9685
-37.0360,140.9718
-37.2287,140.9709
-37.3101,140.9730
-37.4620,140.9738
-37.7175,140.9721
-37.7180,140.9735
-37.7307,140.9720
-38.0559,140.9657
end
start,Barker
-37.5893,140.1312
-37.5893,140.1312
-37.5893,140.1312
-37.5893,140.1312
end
start,Barker
-37.3257,139.8474
-37.3258,139.8479
-37.3258,139.8479
-37.3257,139.8474
end
start,Barker
-37.3254,139.8476
-37.3255,139.8471
-37.3254,139.8471
-37.3254,139.8476
end
start,Barker
-38.0202,140.5699
-38.0208,140.5692
-38.0206,140.5680
-38.0198,140.5694
-38.0202,140.5699
end
start,Barker
-37.7957,140.3189
-37.7959,140.3183
-37.7955,140.3181
-37.7953,140.3186
-37.7957,140.3189
end
start,Barker
-37.4813,139.9956
-37.4814,139.9951
-37.4808,139.9949
-37.4807,139.9953
-37.4813,139.9956
end
start,Barker
-37.5907,140.1354
-37.5910,140.1352
-37.5910,140.1348
-37.5905,140.1351
-37.5907,140.1354
end
start,Barker
-38.0599,140.6665
-38.0602,140.6662
-38.0600,140.6657
-38.0598,140.6659
-38.0599,140.6665
end
start,Barker
-38.0583,140.7690
-38.0586,140.7688
-38.0585,140.7685
-38.0582,140.7687
-38.0583,140.7690
end
start,Barker
-37.5888,140.1326
-37.5889,140.1322
-37.5887,140.1321
-37.5886,140.1325
-37.5888,140.1326
end
start,Barker
-38.0602,140.6640
-38.0605,140.6639
-38.0602,140.6636
-38.0601,140.6639
-38.0602,140.6640
end
start,Barker
-37.5886,140.1351
-37.5888,140.1351
-37.5888,140.1349
-37.5885,140.1348
-37.5886,140.1351
end
start,Grey
-34.1466,138.0665
-34.1520,138.0621
-34.1525,138.0616
-34.1529,138.0613
-34.1696,138.0476
-34.1703,138.0464
-34.1737,138.0440
-34.1742,138.0437
-34.1743,138.0437
-34.1746,138.0435
-34.1853,138.0373
-34.1905,138.0354
-34.2281,138.0162
-34.2313,138.0124
-34.2382,138.0075
-34.2570,138.0015
-34.2570,138.0015
-34.2570,138.0015
-34.2616,138.0015
-34.2850,138.0217
-34.2850,138.0217
-34.2850,138.0217
-34.3089,138.0159
-34.3096,138.0161
-34.3408,138.0089
-34.3429,138.0078
-34.3490,138.0070
-34.3490,138.0070
-34.3791,137.9729
-34.3969,137.9479
-34.4281,137.9175
-34.4281,137.9175
-34.4281,137.9175
-34.4308,137.9159
-34.4318,137.9161
-34.5073,137.8875
-34.5073,137.8875
-34.5156,137.8854
-34.5173,137.8862
-34.5240,137.8854
-34.5243,137.8853
-34.5247,137.8853
-34.5775,137.8784
-34.5809,137.8764
-34.5976,137.8758
-34.5976,137.8758
