start,Ballarat
-37.2309,143.7533
-37.2331,143.7588
-37.2282,143.7662
-37.2352,143.8201
-37.2259,143.8220
-37.2262,143.8335
-37.2328,143.8369
-37.2353,143.8584
-37.2342,143.8602
-37.1952,143.8672
-37.1864,143.8750
-37.1928,143.9358
-37.1976,143.9393
-37.1945,143.9415
-37.1952,143.9448
-37.1991,143.9470
-37.1979,143.9489
-37.2014,143.9491
-37.2036,143.9520
-37.2138,143.9563
-37.2159,143.9556
-37.2228,143.9619
-37.2281,143.9705
-37.2277,143.9745
-37.2299,143.9767
-37.2281,143.9805
-37.2310,143.9798
-37.2311,143.9827
-37.2334,143.9840
-37.2318,143.9872
-37.2331,143.9918
-37.2367,143.9937
-37.2354,143.9968
-37.2388,143.9977
-37.2413,144.0005
-37.2439,143.9988
-37.2440,143.9949
-37.2509,144.0014
-37.2552,144.0013
-37.2567,144.0039
-37.2557,144.0062
-37.2581,144.0068
-37.2581,144.0102
-37.2614,144.0141
-37.2609,144.0165
-37.2632,144.0167
-37.2625,144.0186
-37.2611,144.0183
-37.2633,144.0188
-37.2628,144.0219
-37.2593,144.0234
-37.2627,144.0252
-37.2625,144.0330
-37.2648,144.0361
-37.2684,144.0356
-37.2702,144.0386
-37.2636,144.0376
-37.2560,144.0419
-37.2504,144.0510
-37.2495,144.0557
-37.2510,144.0560
-37.2521,144.0627
-37.2495,144.0635
-37.2444,144.0644
-37.2368,144.0605
-37.2248,144.0660
-37.2173,144.0649
-37.2104,144.0675
-37.2077,144.0600
-37.2019,144.0611
-37.2023,144.0640
-37.1629,144.0699
-37.1599,144.0720
-37.1476,144.0743
-37.1501,144.0934
-37.1483,144.0962
-37.1502,144.0959
-37.1533,144.1223
-37.1588,144.1214
-37.1623,144.1460
-37.1607,144.1570
-37.1628,144.1566
-37.1639,144.1734
-37.1651,144.1780
-37.1672,144.1787
-37.1669,144.1827
-37.1657,144.1828
-37.1671,144.1851
-37.1661,144.1904
-37.1953,144.1851
-37.1956,144.1887
-37.1937,144.1907
-37.1961,144.1919
-37.2045,144.2572
-37.2034,144.2570
-37.2055,144.2753
-37.2090,144.2766
-37.2080,144.2842
-37.1635,144.2921
-37.1668,144.3277
-37.1718,144.3308
-37.1697,144.3310
-37.1656,144.3374
-37.1697,144.3452
-37.1731,144.3744
-37.1758,144.3773
-37.1749,144.3803
-37.1808,144.3755
-37.1794,144.3629
-37.1940,144.3603
-37.1958,144.3753
-37.2022,144.3761
-37.2067,144.3683
-37.2081,144.3613
-37.2127,144.3563
-37.2146,144.3567
-37.2262,144.3439
-37.2424,144.3378
-37.2464,144.3377
-37.2491,144.3353
-37.2524,144.3352
-37.2537,144.3330
-37.2568,144.3335
-37.2554,144.3279
-37.2596,144.3239
-37.2642,144.3234
-37.2715,144.3197
-37.2793,144.3208
-37.2812,144.3180
-37.2838,144.3185
-37.2825,144.3153
-37.2872,144.3142
-37.2883,144.3122
-37.2927,144.3104
-37.2982,144.3161
-37.3020,144.3302
-37.3096,144.3403
-37.3184,144.3604
-37.3200,144.3690
-37.3260,144.3736
-37.3297,144.3802
-37.3315,144.3957
-37.3502,144.3916
-37.3581,144.3927
-37.3605,144.4190
-37.3823,144.4151
-37.3897,144.4174
-37.3962,144.4157
-37.3933,144.3819
-37.4159,144.3778
-37.4198,144.3807
-37.4236,144.3801
-37.4237,144.3825
-37.4387,144.3792
-37.4466,144.4169
-37.4488,144.4185
-37.4536,144.4185
-37.4588,144.4263
-37.4569,144.4297
-37.4503,144.4332
-37.4501,144.4441
-37.4483,144.4465
-37.4506,144.4502
-37.4390,144.4576
-37.4360,144.4617
-37.4368,144.4641
-37.4282,144.4663
-37.4287,144.4704
-37.4315,144.4724
-37.4391,144.4696
-37.4971,144.4593
-37.5075,144.4698
-37.5168,144.4682
-37.5212,144.4691
-37.5261,144.4668
-37.5284,144.4631
-37.5328,144.4629
-37.5366,144.4657
-37.5366,144.4634
-37.5384,144.4642
-37.5383,144.4618
-37.5406,144.4611
-37.5422,144.4580
-37.5463,144.4592
-37.5494,144.4839
-37.5508,144.4836
-37.5589,144.5562
end
start,Bendigo
-36.8802,144.8535
-36.8927,144.8372
-36.8997,144.8223
-36.9116,144.8165
-36.9258,144.8042
-36.9394,144.8002
-36.9556,144.8063
-36.9567,144.8023
-36.9520,144.7912
-36.9655,144.7965
-36.9696,144.7804
-36.9712,144.7804
-36.9712,144.7709
-36.9776,144.7578
-36.9779,144.7508
-36.9828,144.7424
-36.9977,144.7430
-36.9978,144.7146
-37.0033,144.7146
-37.0187,144.7259
-37.0293,144.7271
-37.0490,144.7229
-37.0538,144.7255
-37.0571,144.7251
-37.0600,144.7276
